,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
332,Yar-Sale,RU,66.8333,70.8333,67.75,65,92,8.34,overcast clouds
333,Morondava,MG,-20.2833,44.2833,67.03,72,0,9.86,clear sky
334,Kachiry,KZ,53.0675,76.1036,72.18,55,12,7.67,few clouds
335,Anadyr,RU,64.75,177.4833,50.5,71,75,20.13,broken clouds
336,Hualmay,PE,-11.0964,-77.6139,61.72,83,11,12.93,few clouds
337,Palmer,US,42.1584,-72.3287,58.6,62,1,2.62,clear sky
338,Lakhimpur,IN,27.95,80.7667,88.02,43,43,4.29,scattered clouds
339,Tshikapa,CD,-6.4167,20.8,74.12,45,99,0.29,overcast clouds
340,Havoysund,NO,70.9963,24.6622,44.83,82,15,2.51,few clouds
341,San Miguel,SV,13.4833,-88.1833,80.26,83,75,3.44,broken clouds
342,Axim,GH,4.8699,-2.2405,75.76,91,99,4.38,light rain
343,Bilma,NE,18.6853,12.9164,84.72,13,0,11.52,clear sky
344,Onega,RU,63.9061,38.1404,49.69,81,100,7.05,overcast clouds
