City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
230,Anloga,GH,77.5,broken clouds,5.7947,0.8973,Pin Drop Hotel
233,Faanui,PF,79.52,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
238,Lorengau,PG,82.45,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
246,Dhidhdhoo,MV,82.65,overcast clouds,6.8833,73.1,Dhidhoo beach
251,Moga,IN,86.05,few clouds,30.8,75.1667,Majestic Resorts
253,Ceres,US,84.52,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
254,Tomatlan,MX,80.08,scattered clouds,19.9333,-105.25,El Salvial
257,Port Blair,IN,80.64,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
259,Banda Aceh,ID,84.18,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
262,Jalu,LY,76.89,clear sky,29.0331,21.5482,صاحبة الفخامة
271,Farmington,US,75.88,overcast clouds,36.7281,-108.2187,Courtyard by Marriott Farmington
273,Abonnema,NG,75.38,light rain,4.7084,6.7931,Corper's Lodge Obonoma
280,Lalpur,IN,87.12,scattered clouds,22.2,69.9667,Radhe Duplex Lalpur
281,Morant Bay,JM,82.02,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
282,Olga,RU,76.21,scattered clouds,43.7444,135.2892,Gostinitsa Rosmorport.
283,Sarakhs,IR,77.14,few clouds,36.5449,61.1577,مهمان سرای شرکت گاز
285,Kapit,MY,80.51,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
288,Hailar,CN,82.67,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
290,Bambanglipuro,ID,84.07,few clouds,-7.95,110.2833,Puri Brata
295,Minab,IR,84.52,haze,27.1467,57.0801,Bam campground
296,Basco,PH,85.71,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
299,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
306,Kavieng,PG,82.72,light rain,-2.5744,150.7967,Nusa Island Retreat
307,Cozumel,MX,75.94,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
315,Cairns,AU,79.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
318,Pakokku,MM,85.55,overcast clouds,21.3333,95.1,Royal Palace Motel
323,Meulaboh,ID,82.47,overcast clouds,4.1363,96.1285,Kost Pria
327,Hasaki,JP,86.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
338,Lakhimpur,IN,88.02,scattered clouds,27.95,80.7667,Hotel Landmark Royale & Fun Mall Lakhimpur Kheri
341,San Miguel,SV,80.26,broken clouds,13.4833,-88.1833,Excalibur
342,Axim,GH,75.76,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
343,Bilma,NE,84.72,clear sky,18.6853,12.9164,Expeditions Ténére voyages
346,Zaragoza,ES,77.02,clear sky,41.6561,-0.8773,INNSiDE Zaragoza
347,Thaton,MM,82.76,scattered clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
348,Barahona,DO,78.39,broken clouds,18.2085,-71.1008,Hotel Caribe
352,Nalut,LY,80.29,clear sky,30.3333,10.85,
355,Coahuayana,MX,79.3,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
358,Berdigestyakh,RU,81.19,scattered clouds,62.0989,126.6992,
359,Jishou,CN,80.65,overcast clouds,28.3167,109.7167,7 Days Inn
366,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
370,Ahome,MX,84.29,scattered clouds,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
371,Matamoros,MX,77.34,scattered clouds,25.5333,-103.25,Quinta Belem
372,Dahegam,IN,87.57,clear sky,23.1667,72.8167,OYO 3231 Malhaar Resort
374,Ixtapa,MX,79.83,broken clouds,20.7,-105.2,hotel la terminal
377,Sioux Lookout,CA,77.07,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
379,Ahuimanu,US,85.71,broken clouds,21.4447,-157.8378,Paradise Bay Resort
381,Araguaina,BR,75.96,clear sky,-7.1911,-48.2072,Hotel São Vicente
